"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Personal Services","1","Mayor-office of the Inspector General","2016","General Operating Fund","Salary Control","100","15111"
"Personal Services","1","Mayor-office of the Inspector General","2016","General Operating Fund","Perm Full Time-civilian","101","1375500"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Postage","210","10"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Transportation","211","5000"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","500"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Professional Consult/spec Services","250","250004"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Information Technology-prof Service","251","832"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Legal Services","253","400"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Dues","255","1000"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Seminar and Training Sessions","256","10000"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Repair and Maintenance Charges","260","500"
"Purchase of Services","2","Mayor-office of the Inspector General","2016","General Operating Fund","Rent/lease-purchase Computer Equip","282","4729"
"Materials and Supplies","3","Mayor-office of the Inspector General","2016","General Operating Fund","Office Materials and Supplies","320","2925"
"Materials and Supplies","3","Mayor-office of the Inspector General","2016","General Operating Fund","Printing","325","200"
"Equipment","4","Mayor-office of the Inspector General","2016","General Operating Fund","Office Equipment","420","600"
"Equipment","4","Mayor-office of the Inspector General","2016","General Operating Fund","Computer Equipment & Peripherals","427","1500"
"Personal Services","1","Mayor-office of Sustainability","2016","General Operating Fund","Perm Full Time-civilian","101","514768"
"Personal Services","1","Mayor-office of Sustainability","2016","General Operating Fund","Temporary Seasonal","121","23211"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Transportation","211","6000"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","30000"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Advertising/promotional Activities","240","2500"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Professional Consult/spec Services","250","210708"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Dues","255","10000"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Seminar and Training Sessions","256","8999"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","5121"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Rent/lease-purchase Computer Equip","282","2926"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Ground and Building Rental","284","903"
"Purchase of Services","2","Mayor-office of Sustainability","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","2351"
"Materials and Supplies","3","Mayor-office of Sustainability","2016","General Operating Fund","Office Materials and Supplies","320","329"
"Materials and Supplies","3","Mayor-office of Sustainability","2016","General Operating Fund","Printing","325","12964"
"Materials and Supplies","3","Mayor-office of Sustainability","2016","General Operating Fund","Other Materials and Supplies (noc)","399","627"
"Equipment","4","Mayor-office of Sustainability","2016","General Operating Fund","Computer Equipment & Peripherals","427","1362"
"Equipment","4","Mayor-office of Sustainability","2016","General Operating Fund","Furniture and Furnishings","430","514"
"Equipment","4","Mayor-office of Sustainability","2016","General Operating Fund","Other Equipment (noc)","499","2044"
"Personal Services","1","Mayors Office-mural Arts Program","2016","General Operating Fund","Perm Full Time-civilian","101","485020"
"Personal Services","1","Mayors Office-mural Arts Program","2016","General Operating Fund","Overtime Civilian","161","5381"
"Purchase of Services","2","Mayors Office-mural Arts Program","2016","General Operating Fund","Professional Consult/spec Services","250","1155615"
"Personal Services","1","City Planning Commission","2016","General Operating Fund","Salary Control","100","66539"
"Personal Services","1","City Planning Commission","2016","General Operating Fund","Perm Full Time-civilian","101","2239995"
"Personal Services","1","City Planning Commission","2016","General Operating Fund","Board","131","3000"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","200"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Postage","210","500"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Transportation","211","15000"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","4000"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Professional Consult/spec Services","250","85000"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Dues","255","2500"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Seminar and Training Sessions","256","16392"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Court Reporters","258","1000"
"Purchase of Services","2","City Planning Commission","2016","General Operating Fund","Rents","285","30000"
"Materials and Supplies","3","City Planning Commission","2016","General Operating Fund","Books and Other Publications","304","1000"
"Materials and Supplies","3","City Planning Commission","2016","General Operating Fund","Office Materials and Supplies","320","7500"
"Materials and Supplies","3","City Planning Commission","2016","General Operating Fund","Precision, Photographic and Artists","324","8824"
"Materials and Supplies","3","City Planning Commission","2016","General Operating Fund","Printing","325","8328"
"Equipment","4","City Planning Commission","2016","General Operating Fund","Computer Equipment & Peripherals","427","15000"
"Personal Services","1","Free Library","2016","General Operating Fund","Salary Control","100","356573"
"Personal Services","1","Free Library","2016","General Operating Fund","Perm Full Time-civilian","101","30996704"
"Personal Services","1","Free Library","2016","General Operating Fund","Perm Part Time","111","1284511"
"Personal Services","1","Free Library","2016","General Operating Fund","Temporary Seasonal","121","1555315"
"Personal Services","1","Free Library","2016","General Operating Fund","Overtime Civilian","161","1219125"
"Personal Services","1","Free Library","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","9078"
"Personal Services","1","Free Library","2016","General Operating Fund","Shift","181","52946"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Cleaning and Laundering","201","17911"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Janitorial Services","202","2155"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Telephone","209","1067570"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Transportation","211","4943"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","46317"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","19177"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Professional Consult/spec Services","250","219805"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Dues","255","1250"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Seminar and Training Sessions","256","885"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Repair and Maintenance Charges","260","642372"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","284862"
"Purchase of Services","2","Free Library","2016","General Operating Fund","Rents","285","16830"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Building and Construction","305","30008"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Library Materials","306","2001589"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","7093"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Electrical and Communication","310","12400"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","General Hardware and Minor Tools","316","14418"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Hospital and Laboratory","317","4340"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Janitorial, Laundry and Household","318","61294"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Office Materials and Supplies","320","81278"
"Personal Services","1","Water","2016","Water Operating Fund","Overtime Civilian","161","13171100"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Precision, Photographic and Artists","324","10855"
"Materials and Supplies","3","Free Library","2016","General Operating Fund","Printing","325","16340"
"Equipment","4","Free Library","2016","General Operating Fund","General Equipment and Machinery","411","12860"
"Equipment","4","Free Library","2016","General Operating Fund","Janitorial and Laundry","418","1712"
"Equipment","4","Free Library","2016","General Operating Fund","Office Equipment","420","7231"
"Equipment","4","Free Library","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","1415"
"Equipment","4","Free Library","2016","General Operating Fund","Computer Equipment & Peripherals","427","20892"
"Equipment","4","Free Library","2016","General Operating Fund","Furniture and Furnishings","430","18934"
"Personal Services","1","Commission on Human Relations","2016","General Operating Fund","Salary Control","100","70000"
"Personal Services","1","Commission on Human Relations","2016","General Operating Fund","Perm Full Time-civilian","101","1979408"
"Personal Services","1","Commission on Human Relations","2016","General Operating Fund","Board","131","50000"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Telephone","209","1500"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Postage","210","50"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Transportation","211","3250"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","500"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Professional Consult/spec Services","250","3500"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Dues","255","1000"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Seminar and Training Sessions","256","4357"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Court Reporters","258","15500"
"Purchase of Services","2","Commission on Human Relations","2016","General Operating Fund","Repair and Maintenance Charges","260","5000"
"Materials and Supplies","3","Commission on Human Relations","2016","General Operating Fund","Books and Other Publications","304","1000"
"Materials and Supplies","3","Commission on Human Relations","2016","General Operating Fund","Office Materials and Supplies","320","10731"
"Materials and Supplies","3","Commission on Human Relations","2016","General Operating Fund","Printing","325","1000"
"Equipment","4","Commission on Human Relations","2016","General Operating Fund","Office Equipment","420","300"
"Personal Services","1","Civil Service Commission","2016","General Operating Fund","Perm Full Time-civilian","101","98918"
"Personal Services","1","Civil Service Commission","2016","General Operating Fund","Board","131","48425"
"Purchase of Services","2","Civil Service Commission","2016","General Operating Fund","Professional Consult/spec Services","250","29500"
"Materials and Supplies","3","Civil Service Commission","2016","General Operating Fund","Office Materials and Supplies","320","375"
"Materials and Supplies","3","Civil Service Commission","2016","General Operating Fund","Printing","325","125"
"Equipment","4","Civil Service Commission","2016","General Operating Fund","Computer Equipment & Peripherals","427","594"
"Personal Services","1","Personnel","2016","General Operating Fund","Salary Control","100","79576"
"Personal Services","1","Personnel","2016","General Operating Fund","Perm Full Time-civilian","101","5164745"
"Personal Services","1","Personnel","2016","General Operating Fund","Temporary Seasonal","121","110000"
"Personal Services","1","Personnel","2016","General Operating Fund","Overtime Civilian","161","45300"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Postage","210","25000"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Transportation","211","237800"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","5000"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Advertising/promotional Activities","240","13000"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Professional Consult/spec Services","250","570275"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Dues","255","22860"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Seminar and Training Sessions","256","30500"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Repair and Maintenance Charges","260","15700"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Rents","285","43330"
"Purchase of Services","2","Personnel","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","605"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Books and Other Publications","304","14352"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Chemicals and Gases","307","500"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Hospital and Laboratory","317","18500"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Office Materials and Supplies","320","19600"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Precision, Photographic and Artists","324","5330"
"Materials and Supplies","3","Personnel","2016","General Operating Fund","Printing","325","7300"
"Equipment","4","Personnel","2016","General Operating Fund","Office Equipment","420","4350"
"Personal Services","1","Office of Arts & Culture","2016","General Operating Fund","Perm Full Time-civilian","101","312767"
"Purchase of Services","2","Office of Arts & Culture","2016","General Operating Fund","Postage","210","334"
"Purchase of Services","2","Office of Arts & Culture","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","1504"
"Purchase of Services","2","Office of Arts & Culture","2016","General Operating Fund","Professional Consult/spec Services","250","479400"
"Purchase of Services","2","Office of Arts & Culture","2016","General Operating Fund","Dues","255","400"
"Purchase of Services","2","Office of Arts & Culture","2016","General Operating Fund","Repair and Maintenance Charges","260","762"
"Materials and Supplies","3","Office of Arts & Culture","2016","General Operating Fund","Office Materials and Supplies","320","7000"
"Contributions, Indemnities, Refunds, Taxes","5","Office of Arts & Culture","2016","General Operating Fund","Contributions-ed & Non-prof Rec Org","505","230688"
"Contributions, Indemnities, Refunds, Taxes","5","Office of Arts & Culture","2016","General Operating Fund","Contributions-gov & Non-prof Not Ed","517","3140000"
"Personal Services","1","Office of Property Assessments","2016","General Operating Fund","Salary Control","100","50000"
"Personal Services","1","Office of Property Assessments","2016","General Operating Fund","Perm Full Time-civilian","101","10274420"
"Personal Services","1","Office of Property Assessments","2016","General Operating Fund","Temporary Seasonal","121","50000"
"Personal Services","1","Office of Property Assessments","2016","General Operating Fund","Overtime Civilian","161","50000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","5000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Postage","210","174248"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Transportation","211","20000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Advertising/promotional Activities","240","500"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Professional Consult/spec Services","250","1723378"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Information Technology-prof Service","251","15000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Dues","255","45000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Seminar and Training Sessions","256","50000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Court Reporters","258","10000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Repair and Maintenance Charges","260","25000"
"Purchase of Services","2","Office of Property Assessments","2016","General Operating Fund","Ground and Building Rental","284","10000"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","Books and Other Publications","304","16000"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","Food","313","100"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","General Hardware and Minor Tools","316","100"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","Office Materials and Supplies","320","53000"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","Precision, Photographic and Artists","324","66068"
"Materials and Supplies","3","Office of Property Assessments","2016","General Operating Fund","Printing","325","581332"
"Equipment","4","Office of Property Assessments","2016","General Operating Fund","Office Equipment","420","16000"
"Equipment","4","Office of Property Assessments","2016","General Operating Fund","Furniture and Furnishings","430","50000"
"Personal Services","1","City Controller","2016","General Operating Fund","Salary Control","100","15000"
"Personal Services","1","City Controller","2016","General Operating Fund","Perm Full Time-civilian","101","7624840"
"Personal Services","1","City Controller","2016","General Operating Fund","Perm Part Time","111","24960"
"Personal Services","1","City Controller","2016","General Operating Fund","Temporary Seasonal","121","25000"
"Personal Services","1","City Controller","2016","General Operating Fund","Overtime Civilian","161","50000"
"Personal Services","1","City Controller","2016","General Operating Fund","Shift","181","33085"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Postage","210","500"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Transportation","211","1600"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Licenses Permits Inspection Charges","215","206"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","1050"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Professional Consult/spec Services","250","136000"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Information Technology-prof Service","251","76000"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Accounting and Auditing Services","252","229094"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Dues","255","7000"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Seminar and Training Sessions","256","33000"
"Purchase of Services","2","City Controller","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","13000"
"Materials and Supplies","3","City Controller","2016","General Operating Fund","Office Materials and Supplies","320","15000"
"Equipment","4","City Controller","2016","General Operating Fund","Office Equipment","420","10000"
"Personal Services","1","Board of Revision of Taxes","2016","General Operating Fund","Perm Full Time-civilian","101","792747"
"Personal Services","1","Board of Revision of Taxes","2016","General Operating Fund","Temporary Seasonal","121","26880"
"Purchase of Services","2","Board of Revision of Taxes","2016","General Operating Fund","Advertising/promotional Activities","240","100"
"Purchase of Services","2","Board of Revision of Taxes","2016","General Operating Fund","Court Reporters","258","11860"
"Purchase of Services","2","Board of Revision of Taxes","2016","General Operating Fund","Repair and Maintenance Charges","260","3200"
"Purchase of Services","2","Board of Revision of Taxes","2016","General Operating Fund","Rental of Parking Spaces","286","5040"
"Materials and Supplies","3","Board of Revision of Taxes","2016","General Operating Fund","Books and Other Publications","304","1000"
"Materials and Supplies","3","Board of Revision of Taxes","2016","General Operating Fund","Office Materials and Supplies","320","5727"
"Materials and Supplies","3","Board of Revision of Taxes","2016","General Operating Fund","Precision, Photographic and Artists","324","1000"
"Materials and Supplies","3","Board of Revision of Taxes","2016","General Operating Fund","Printing","325","1000"
"Equipment","4","Board of Revision of Taxes","2016","General Operating Fund","Office Equipment","420","5000"
"Equipment","4","Board of Revision of Taxes","2016","General Operating Fund","Computer Equipment & Peripherals","427","1000"
"Equipment","4","Board of Revision of Taxes","2016","General Operating Fund","Furniture and Furnishings","430","1000"
"Personal Services","1","Register of Wills","2016","General Operating Fund","Salary Control","100","20000"
"Personal Services","1","Register of Wills","2016","General Operating Fund","Perm Full Time-civilian","101","3238934"
"Personal Services","1","Register of Wills","2016","General Operating Fund","Perm Part Time","111","109065"
"Personal Services","1","Register of Wills","2016","General Operating Fund","Temporary Seasonal","121","45500"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Telephone","209","450"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Postage","210","15300"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Transportation","211","1800"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Information Technology-prof Service","251","2558"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Repair and Maintenance Charges","260","50369"
"Purchase of Services","2","Register of Wills","2016","General Operating Fund","Rents","285","5009"
"Materials and Supplies","3","Register of Wills","2016","General Operating Fund","Office Materials and Supplies","320","18000"
"Materials and Supplies","3","Register of Wills","2016","General Operating Fund","Printing","325","5850"
"Equipment","4","Register of Wills","2016","General Operating Fund","Office Equipment","420","900"
"Equipment","4","Register of Wills","2016","General Operating Fund","Computer Equipment & Peripherals","427","8460"
"Personal Services","1","District Attorney","2016","General Operating Fund","Salary Control","100","319000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Perm Full Time-civilian","101","29331607"
"Personal Services","1","District Attorney","2016","General Operating Fund","Perm Full Time-uniform","105","2215631"
"Personal Services","1","District Attorney","2016","General Operating Fund","Plus/minus Gross Adj","109","75000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Uniform Stress Pay","110","158000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Perm Part Time","111","81283"
"Personal Services","1","District Attorney","2016","General Operating Fund","Temporary Seasonal","121","30000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Overtime Civilian","161","3000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Overtime Shift Uniform","165","155000"
"Personal Services","1","District Attorney","2016","General Operating Fund","Holiday Pay-annual","175","121500"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Cleaning and Laundering","201","23000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Telephone","209","20000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Postage","210","110000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Transportation","211","128250"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","130000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Overtime Meals","231","2500"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Advertising/promotional Activities","240","1000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Professional Consult/spec Services","250","1734466"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Dues","255","5000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Seminar and Training Sessions","256","6032"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Repair and Maintenance Charges","260","75000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","117000"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Rents","285","27500"
"Purchase of Services","2","District Attorney","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","87424"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Books and Other Publications","304","5000"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","27600"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Office Materials and Supplies","320","333005"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","20000"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Printing","325","23000"
"Materials and Supplies","3","District Attorney","2016","General Operating Fund","Other Materials and Supplies (noc)","399","5000"
"Equipment","4","District Attorney","2016","General Operating Fund","Office Equipment","420","40000"
"Equipment","4","District Attorney","2016","General Operating Fund","Computer Equipment & Peripherals","427","45000"
"Equipment","4","District Attorney","2016","General Operating Fund","Furniture and Furnishings","430","21416"
"Equipment","4","District Attorney","2016","General Operating Fund","Other Equipment (noc)","499","5000"
"Personal Services","1","Sheriff","2016","General Operating Fund","Salary Control","100","45000"
"Personal Services","1","Sheriff","2016","General Operating Fund","Perm Full Time-civilian","101","15618888"
"Personal Services","1","Sheriff","2016","General Operating Fund","Temporary Seasonal","121","50000"
"Personal Services","1","Sheriff","2016","General Operating Fund","Overtime Civilian","161","2276185"
"Personal Services","1","Sheriff","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","50000"
"Personal Services","1","Sheriff","2016","General Operating Fund","Shift","181","29000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Cleaning and Laundering","201","145000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Telephone","209","50000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Transportation","211","200000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Accounting and Auditing Services","252","38800"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Seminar and Training Sessions","256","45000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Court Reporters","258","5666"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Repair and Maintenance Charges","260","20000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","50000"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Rents","285","18834"
"Purchase of Services","2","Sheriff","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","141967"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Books and Other Publications","304","2000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Building and Construction","305","2000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","164105"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Electrical and Communication","310","4000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Fire Fighting and Safety","312","38270"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Food","313","96970"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Office Materials and Supplies","320","22000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Precision, Photographic and Artists","324","10000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Printing","325","1500"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Gasoline","345","55000"
"Materials and Supplies","3","Sheriff","2016","General Operating Fund","Other Materials and Supplies (noc)","399","10062"
"Equipment","4","Sheriff","2016","General Operating Fund","Furniture and Furnishings","430","13000"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Salary Control","100","11486"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Perm Full Time-civilian","101","4171336"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Temporary Seasonal","121","500000"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Overtime Civilian","161","905223"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","33256"
"Personal Services","1","City Commissioners","2016","General Operating Fund","Shift","181","2975"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Janitorial Services","202","10874"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Telephone","209","50481"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Postage","210","150000"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Transportation","211","13838"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Professional Consult/spec Services","250","2316065"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Information Technology-prof Service","251","244144"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Seminar and Training Sessions","256","7000"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Court Reporters","258","6000"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Repair and Maintenance Charges","260","487819"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","30000"
"Purchase of Services","2","City Commissioners","2016","General Operating Fund","Rents","285","181129"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Books and Other Publications","304","763"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Electrical and Communication","310","5331"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","General Hardware and Minor Tools","316","4700"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Janitorial, Laundry and Household","318","2560"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Office Materials and Supplies","320","80730"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Precision, Photographic and Artists","324","20209"
"Materials and Supplies","3","City Commissioners","2016","General Operating Fund","Printing","325","364055"
"Equipment","4","City Commissioners","2016","General Operating Fund","Office Equipment","420","45269"
"Equipment","4","City Commissioners","2016","General Operating Fund","Computer Equipment & Peripherals","427","14500"
"Equipment","4","City Commissioners","2016","General Operating Fund","Furniture and Furnishings","430","3500"
"Personal Services","1","1st Judicial District","2016","General Operating Fund","Salary Control","100","1412000"
"Personal Services","1","1st Judicial District","2016","General Operating Fund","Perm Full Time-civilian","101","93342858"
"Personal Services","1","1st Judicial District","2016","General Operating Fund","Temporary Seasonal","121","2420000"
"Personal Services","1","1st Judicial District","2016","General Operating Fund","Overtime Civilian","161","92000"
"Purchase of Services","2","1st Judicial District","2016","General Operating Fund","Arbitration Fees","259","755140"
"Purchase of Services","2","1st Judicial District","2016","General Operating Fund","Juror Fees","275","1542471"
"Purchase of Services","2","1st Judicial District","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","8358963"
"Materials and Supplies","3","1st Judicial District","2016","General Operating Fund","Other Materials and Supplies (noc)","399","1870944"
